pais;departamento;municipio;comunidad
BOLIVIA;CHUQUISACA;VILLA VACA GUZMAN(MUYUPAMPA);GUEMBE
BOLIVIA;CHUQUISACA;VILLA VACA GUZMAN(MUYUPAMPA);LA TAPERA
BOLIVIA;CHUQUISACA;PADILLA;T ABACAL
BOLIVIA;CHUQUISACA;AZURDUY;PINOS (COLLPA MAYU)
BOLIVIA;SANTA CRUZ;ASCENSION DE GUARAYOS;NUEVA JERUSALEN
BOLIVIA;CHUQUISACA;AZURDUY;TABLANI
BOLIVIA;CHUQUISACA;VILLA VACA GUZMAN(MUYUPAMPA);CUMANDAITY
BOLIVIA;CHUQUISACA;ICLA;CANTAR GALLO
BOLIVIA;CHUQUISACA;VILLA VACA GUZMAN(MUYUPAMPA);ITY
BOLIVIA;SANTA CRUZ;ASCENSION DE GUARAYOS;SANTA MARIA
BOLIVIA;CHUQUISACA;SAN LUCAS;CANCHAS BLANCAS
BOLIVIA;CHUQUISACA;EL VILLAR;EL DORADO
BOLIVIA;COCHABAMBA;MIZQUE;HUCHAMA ALTA
BOLIVIA;COCHABAMBA;ALALA Y;QOTURI (QUIRUSILLANI; SACHALOMA; PUTUNKU; MUYURINA; PACHAJPUCHU)
BOLIVIA;CHUQUISACA;VILLA VACA GUZMAN(MUYUPAMPA);AGUAYRENDA
BOLIVIA;SANTA CRUZ;ASCENSION DE GUARAYOS;CERRO CHICO
BOLIVIA;ORURO;CORQUE;HUAYLLAPACHA
BOLIVIA;CHUQUISACA;VILLA TOMINA;K'URI
BOLIVIA;SANTA CRUZ;SAN XAVIER;MONTE CRISTO
BOLIVIA;CHUQUISACA;SOP ACHUY;PAMPAS DEL CARMEN
BOLIVIA;CHUQUISACA;YAMPARAEZ;CARAMA
BOLIVIA;SANTA CRUZ;ASCENSION DE GUARAYOS;CERRO GRANDE
BOLIVIA;CHUQUISACA;INCA HUASI;CHILLAJARA
BOLIVIA;SANTA CRUZ;YAPACANI;LOS POZOS
BOLIVIA;CHUQUISACA;VILLA SERRANO;URRIOLAGOITIA
BOLIVIA;SANTA CRUZ;YAPACANI;EL CONDOR
BOLIVIA;SANTA CRUZ;YAPACANI;PUERTO CHORE
BOLIVIA;POTOSI;CAIZA D;LA FRAGUA
BOLIVIA;SANTA CRUZ;SAN XAVIER;SAN FRANCISCO LAS ABRAS
BOLIVIA;POTOSI;COT AGAIT A;MOCKO PATA
BOLIVIA;SANTA CRUZ;YAPACANI;15 DE AGOSTO
BOLIVIA;CHUQUISACA;VILLA TOMINA;PUNA MAYU
BOLIVIA;CHUQUISACA;VILLA ZUDAÑEZ;HUACA HUASI
BOLIVIA;CHUQUISACA;VILLA ZUDAÑEZ;MAYU TORCOCO
BOLIVIA;CHUQUISACA;YAMPARAEZ;CONCEPCION
BOLIVIA;COCHABAMBA;VILA VILA;CHILIJCHI
BOLIVIA;CHUQUISACA;VILLA SERRANO;ESCALERAS
BOLIVIA;CHUQUISACA;YAMPARAEZ;PATA LLAJTA
BOLIVIA;CHUQUISACA;VILLA ZUDAÑEZ;CAPILLA LLAVE
BOLIVIA;COCHABAMBA;ANZALDO;QUEBRADA HONDA
BOLIVIA;SANTA CRUZ;GUTIERREZ;KAPIRENDA
